price,address,bedroom,den,bathroom
"$1,199,999 ","2977 HEARTWOOD LANE, Pickering, Ontario ",4,0,3
"$799,900 ","19 WEEKES DR, Ajax, Ontario ",3,1,4
"$445,000 ","#3411 -251 JARVIS ST, Toronto, Ontario ",0,0,1
"$999,000 ","#1513 -30 SHORE BREEZE DR, Toronto, Ontario ",2,0,1
"$679,900 ","#106 -9700 NINTH LINE, Markham, Ontario ",2,1,2
"$2,588,888 ","601 SPADINA RD, Toronto, Ontario ",4,1,5
"$995,000 ","#3206 -101 CHARLES ST E, Toronto, Ontario ",2,0,2
"$634,900 ","#412 -73 KING WILLIAM CRES N, Richmond Hill, Ontario ",2,0,1
"$688,000 ","#5508 -197 YONGE ST, Toronto, Ontario ",1,0,1
"$987,000 ","2023 DUFFERIN ST, Toronto, Ontario ",3,2,2
"$1,219,000 ","3259 STRABANE DR, Mississauga, Ontario ",4,0,2
"$2,970,000 ","19 LEEDS ST, Toronto, Ontario ",8,3,7
"$1,849,900 ","40 CONLINS RD, Toronto, Ontario ",5,0,2
"$999,999 ","1569 GREENMOUNT ST, Pickering, Ontario ",3,1,4
"$599,000 ","#309 -75 ST NICHOLAS ST, Toronto, Ontario ",1,0,1
"$1,499,999 ","#2212 -470 FRONT ST W, Toronto, Ontario ",2,0,2
"$780,000 ","#101 -65 WATERGARDEN DR, Mississauga, Ontario ",2,0,2
"$989,000 ","3327 MORNING STAR DR, Mississauga, Ontario ",4,1,3
"$629,990 ","#426 -86 DUNDAS ST S, Mississauga, Ontario ",1,1,2
"$699,990 ","#1716 -86 DUNDAS ST S, Mississauga, Ontario ",2,1,2
"$2,970,000 ","19 LEEDS ST, Toronto, Ontario ",0,0,7
"$2,699,900 ","34 CLARIDGE DR, Richmond Hill, Ontario ",4,1,4
"$1,299,000 ","91 SEQUIN DR, Richmond Hill, Ontario ",3,1,4
"$5,500,000 ","12 MINER CIRC, Markham, Ontario ",4,1,7
"$5,500,000 ","12 MINER CIRC, Markham, Ontario ",4,1,7
"$1,075,000 ","#421 -88 COLGATE AVE, Toronto, Ontario ",2,0,2
"$899,900 ","#N/A -2515 SIXTH CONCESSION RD E, Pickering, Ontario ",3,0,3
"$769,900 ","#653 -25 ADRA GRADO WAY, Toronto, Ontario ",1,1,1
"$2,499,000 ","376 GEORGE ST, Toronto, Ontario ",4,0,5
"$1,410,000 ","#PH2108 -25 MCMAHON DR, Toronto, Ontario ",3,0,2
"$10,800,000 ","83 BAYVIEW RDGE, Toronto, Ontario ",4,1,6
"$800,000 ","#1014 -5 DEFRIES ST, Toronto, Ontario ",1,0,1
"$1,450,000 ","1423 NORTH MILL Court, Mississauga, Ontario ",3,2,4
"$1,110,888 ","4639 CROSSWINDS DR, Mississauga, Ontario ",3,0,3
"$867,000 ","#60 -1588 SOUTH PARADE CRT, Mississauga, Ontario ",3,0,3
"$719,000 ","#2 -20 BROOKWELL DR, Toronto, Ontario ",3,1,2
"$629,000 ","#PH2208 -4675 METCALFE AVE, Mississauga, Ontario ",1,1,2
"$785,000 ","#1806 -1928 LAKE SHORE BLVD W, Toronto, Ontario ",2,1,2
"$1,399,888 ","59 MILLCREEK CRES, Vaughan, Ontario ",4,2,4
"$1,188,000 ","22 KRISBURY AVE, Vaughan, Ontario ",3,0,3
"$3,130,000 ","131 PEMBERTON RD S, Richmond Hill, Ontario ",4,2,4
"$398,888 ","#305 -3088 KENNEDY RD, Toronto, Ontario ",1,0,1
"$2,560,000 ","1A IVY AVE, Toronto, Ontario ",4,1,5
"$904,000 ","#2701 -286 MAIN ST, Toronto, Ontario ",2,0,2
"$1,589,000 ","37 MARCELLA ST, Toronto, Ontario ",4,2,5
"$585,000 ","#2206 -18 HOLMES AVE W, Toronto, Ontario ",1,0,1
"$1,499,000 ","502 WILSON HEIGHTS BLVD, Toronto, Ontario ",3,2,2
"$1,499,000 ","504 WILSON HEIGHTS BLVD, Toronto, Ontario ",3,2,3
"$388,888 ","#268 -10 EDDYSTONE AVE, Toronto, Ontario ",3,0,2
"$969,000 ","#TPH01 -35 KINGSBRIDGE GARDEN CIRC, Mississauga, Ontario ",2,1,2
"$651,000 ","#PH 14 -310 BURNHAMTHORPE RD, Mississauga, Ontario ",2,1,2
"$1,450,000 ","1423 NORTH MILL CRT, Mississauga, Ontario ",3,2,4
"$565,000 ","#103 -1150 PARKWEST PL, Mississauga, Ontario ",1,1,1
"$1,989,000 ","1369 CLEARVIEW DR, Oakville, Ontario ",4,1,4
"$1,369,000 ","16 MISTY MEADOW DR, Vaughan, Ontario ",4,0,4
"$798,800 ","#218 -376 HIGHWAY 7  E, Richmond Hill, Ontario ",2,0,2
"$2,988,000 ","80 BROOMFIELD DR, Toronto, Ontario ",5,1,8
"$599,000 ","#GV115 -38 KENASTON GDNS, Toronto, Ontario ",1,1,1
"$618,000 ","#1828 -111 ST CLAIR AVE W, Toronto, Ontario ",1,1,1
"$858,000 ","#1116 -2885 BAYVIEW AVE, Toronto, Ontario ",2,0,2
"$528,888 ","#701 -810 SCOLLARD CRT, Mississauga, Ontario ",1,1,1
"$999,000 ","27 DEEVALE RD, Toronto, Ontario ",3,2,2
"$1,580,000 ","2512 PAULA CRT, Mississauga, Ontario ",4,0,3
"$1,549,999 ","27 OAKHAVEN RD, Brampton, Ontario ",4,2,5
"$679,000 ","#311 -55 ELM DR W, Mississauga, Ontario ",2,1,2
"$1,798,888 ","5387 WILDERNESS TR, Mississauga, Ontario ",4,2,5
"$449,000 ","#205 -3065 QUEEN FREDERICA DR, Mississauga, Ontario ",2,0,1
"$779,000 ","#2507 -60 ABSOLUTE AVE, Mississauga, Ontario ",2,1,2
"$999,000 ","3310 QUEEN FREDERICA DR, Mississauga, Ontario ",3,1,3
"$964,999 ","7101 MINOTOLA AVE, Mississauga, Ontario ",2,2,2
"$998,000 ","235 WELDON RD, Whitchurch-Stouffville, Ontario ",3,0,4
"$649,900 ","#409 -2502 RUTHERFORD RD, Vaughan, Ontario ",1,0,2
"$998,000 ","235 WELDON RD, Whitchurch-Stouffville, Ontario ",3,0,4
"$848,800 ","18 BELIVEAU ST, Vaughan, Ontario ",2,1,2
"$589,900 ","#1419 -8 MONDEO DR, Toronto, Ontario ",1,1,1
"$749,000 ","84 BONIS AVE, Toronto, Ontario ",3,1,3
"$539,000 ","#518 -3520 DANFORTH AVE, Toronto, Ontario ",1,1,1
"$485,000 ","#1016 -100 DUNDALK DR, Toronto, Ontario ",2,0,1
"$599,000 ","#907 -20 OLIVE AVE, Toronto, Ontario ",2,0,1
"$1,659,999 ","#308 -41 DOVERCOURT RD, Toronto, Ontario ",3,0,3
"$1,200,000 ","146 SHUTER ST, Toronto, Ontario ",3,1,3
"$1,200,000 ","144 SHUTER ST, Toronto, Ontario ",4,1,3
"$1,280,000 ","#1403 -224 KING ST W, Toronto, Ontario ",2,0,2
"$1,199,900 ","#32 -8900 BATHURST ST, Vaughan, Ontario ",3,1,4
"$559,900 ","#1601 -83 BOROUGH DR, Toronto, Ontario ",1,0,1
"$1,289,000 ","#2908 -1555 FINCH AVE E, Toronto, Ontario ",2,1,3
"$548,000 ","#406 -5 ST JOSEPH ST, Toronto, Ontario ",0,0,1
